input,output
"The1937CincinnatiBearcatsfootballteamwasanAmericanfootballteamthatrepresentedtheUniversityofCincinnatiasamemberoftheBuckeyeAthleticAssociationduringthe1937collegefootballseason.TheBearcatswereledbyheadcoachRussCohenwhowent05beforecaptainWadeWoodworthtookover,alsogoing05andcompileda010seasonrecord.","The 1937 Cincinnati Bearcats football team was an American football team that represented the University of Cincinnati as a member of the Buckeye Athletic Association during the 1937 college football season. The Bearcats were led by head coach Russ Cohen who went 05 before captain Wade Woodworth took over, also going 05 and compiled a 010 season record."
"The201011Bundesligawasthe48thseasonoftheBundesliga,Germany'spremierfootballleague.Itbeganon20August2010andconcludedon14May2011.Thewinterbreakwasineffectbetweenweekendsaround18December2010and15January2011.ThedefendingchampionswereBayernMunich.Theleaguehadalsoupdateditslogofortheseason.TheofficialmatchballisAdidasTorfabrik2010.BorussiaDortmundearneditsseventhleaguetitlewithtwogamestospareon30April2011,beating1.FCNrnberg20athome.FCSt.PauliandEintrachtFrankfurtwererelegatedtothe2011122.Bundesliga.","The 201011 Bundesliga was the 48th season of the Bundesliga, Germany's premier football league. It began on 20 August 2010 and concluded on 14 May 2011. The winter break was in effect between weekends around 18 December 2010 and 15 January 2011. The defending champions were Bayern Munich. The league had also updated its logo for the season. The official match ball is Adidas Torfabrik 2010. Borussia Dortmund earned its seventh league title with two games to spare on 30 April 2011, beating 1. FC Nrnberg 20 at home. FC St. Pauli and Eintracht Frankfurt were relegated to the 201112 2. Bundesliga."
"RobertAlexanderScott(29October19131962)wasanEnglishfootballgoalkeeper,whospentmostofhiscareerwithWolverhamptonWanderers.","Robert Alexander Scott (29 October 1913  1962) was an English football goalkeeper, who spent most of his career with Wolverhampton Wanderers."
"Tlanica(Slovenepronunciation:[tlatinitsa],inoldersourcesTlaensa)isaformersettlementintheMunicipalityofMoraveincentralSlovenia.ItisnowpartofthevillageofPee.TheareaispartofthetraditionalregionofUpperCarniola.ThemunicipalityisnowincludedintheCentralSloveniaStatisticalRegion.","Tlanica (Slovene pronunciation: [tlatinitsa], in older sources Tlaensa) is a former settlement in the Municipality of Morave in central Slovenia. It is now part of the village of Pee. The area is part of the traditional region of Upper Carniola. The municipality is now included in the Central Slovenia Statistical Region.  "
"OPMisanAmericanbandbasedinLosAngeles,California.OPMhasadistinctivesound,combininghiphop,rockmusic,andpopwithlaid-backreggae.","OPM is an American band based in Los Angeles, California. OPM has a distinctive sound, combining hip hop, rock music, and pop with laid-back reggae."
"HenriKontinenandJarkkoNieminenwerethedefendingchampions,butNieminenchosenottoparticipatethisyear.KontinenplayedalongsideRobinHaasebutlostinthefinaltoNicolsAlmagroandCarlosBerlocq57,63,[119].","Henri Kontinen and Jarkko Nieminen were the defending champions, but Nieminen chose not to participate this year. Kontinen played alongside Robin Haase but lost in the final to Nicols Almagro and Carlos Berlocq 57, 63, [119]."
"FrederickHenhurstFrancis(18451895)wasanEnglish-bornmerchantandpoliticalfigureinManitoba.HerepresentedSt.FrancoisXavierin1888intheLegislativeAssemblyofManitobaasaLiberal.HecametoManitobaandoperatedastoreinHeadingley.FrancismarriedSarahMargaret,thedaughterofJohnBlack,aPresbyterianclergyman.Hewaselectedtotheprovincialassemblyinan1888by-electionheldafterJosephBurkewasnamedtotheManitobacabinet.FranciswaselectedinalargelyRomanCatholicandfrancophoneridingbasedonpromisesfromtheLiberalsthatseparateschoolsintheprovincewouldbeprotected.Twoyearslater,legislationwasintroducedabolishingseparateschoolsinManitoba.FrancisdiedinHeadingley.","Frederick Henhurst Francis (18451895) was an English-born merchant and political figure in Manitoba. He represented St. Francois Xavier in 1888 in the Legislative Assembly of Manitoba as a Liberal. He came to Manitoba and operated a store in Headingley. Francis married Sarah Margaret, the daughter of John Black, a Presbyterian clergyman. He was elected to the provincial assembly in an 1888 by-election held after Joseph Burke was named to the Manitoba cabinet. Francis was elected in a largely Roman Catholic and francophone riding based on promises from the Liberals that separate schools in the province would be protected. Two years later, legislation was introduced abolishing separate schools in Manitoba.Francis died in Headingley."
"The1993ScottsMillsearthquake,alsoknownasthe""Springbreakquake"",occurredintheU.S.stateofOregononMarch25at5:34AMPacificStandardTime.Withamomentmagnitudeof5.6andamaximumperceivedintensityofVII(Verystrong)ontheMercalliintensityscale,itwasthelargestearthquakeinthePacificNorthwestsincetheElkLakeandGoatRocksearthquakesof1981.GroundmotionwaswidelyfeltinOregon'sWillametteValley,thePortlandmetropolitanarea,andasfarnorthasthePugetSoundareanearSeattle,Washington.","The 1993 Scotts Mills earthquake, also known as the ""Spring break quake"", occurred in the U.S. state of Oregon on March 25 at 5:34 AM Pacific Standard Time. With a moment magnitude of 5.6 and a maximum perceived intensity of VII (Very strong) on the Mercalli intensity scale, it was the largest earthquake in the Pacific Northwest since the Elk Lake and Goat Rocks earthquakes of 1981. Ground motion was widely felt in Oregon's Willamette Valley, the Portland metropolitan area, and as far north as the Puget Sound area near Seattle, Washington."
"KarandeniyaCentralCollegeisahighschoolsituatedinGalleDistrictofSouthernProvinceofSriLanka.ItisoneofthefirstCentralCollegeinSriLanka.Themainbuildingwasdeclaredopenin1953bytheMinisterofEducationM.D.Banda.TheCollegeisoneoftheearlyschoolsthatofferedscienceeducationinSinhalesethelanguagespokenbyabout75%ofSriLankansinSriLanka.TwostudentsqualifiedtoentertheUniversityofCeyloninscienceinSinhalesemediumfromthefirstbatchofgraduates,in1961.Theyarenowuniversityprofessors(MangaladeSilvaandH.G.Nandadasa).Thenextbatchproducedonecivilengineer-(Buddhi/BuddhadasaMeegasdeniyawhonowlivesinCanada)whoenteredtheUniversityofCeylonandlateroptedtoaccepttheofferfromtheEducationDepartmenttoenterMoscowUniversityandonesciencegraduate(DhanasiriSilva).Thethirdbatchproducedoneengineer(M.K.N.Kumararatne)whostudiedattheUniversityofSriLanka,onedoctor(NimalJayaweera)whostudiedinEastGermanyandonesciencegraduate(P.A.JayawardenaYapa)whoisauniversityprofessornow.ThereafterhundredsofstudentsgotadmissiontovariousuniversitiesinSriLankaandabroadfromtheSinhaleseprogramme.Atpresentitcouldbecomeoneofthebestcollegesinsouthernprovince.Generallyitisprovidingmorethan50studentforSriLankaUniversitiesperyear.KarandeniyaCentralCollegewasestablishedunderthefreeeducationconceptintroducedbythenHon.MinisterofEducationMr.C.W.W.Kannangara.Thiswasoneofthe54CentralCollegesestablishedallovertheIslandundertheprogramtogroomunder-privilegedpeopleinveryruralareas.Thiswasanopportunityforthesonsanddaughtersoffarmers,cinnamoncultivatorsandlaborers.Bystayingtruetotheobjectivewhichitwasestablished,largenumbersofchildrenenteredtheuniversitiesandfoundotheravenuestotransformthemselvesasbettercitizens.PersonalitieswhohelpedthedevelopmentoftheCollegeincludeMr.T.D.Samarawera,whobecametheprincipaloftheCollegetwice.HewasoneoftheoldboysoftheCollegewhowasborninKarandeniya.","Karandeniya Central College is a high school situated in Galle District of Southern Province of Sri Lanka. It is one of the first Central College in Sri Lanka. The main building was declared open in 1953 by the Minister of Education M. D. Banda. The College is one of the early schools that offered science education in Sinhalese the language spoken by about 75% of Sri Lankans in Sri Lanka. Two students qualified to enter the University of Ceylon in science in  Sinhalese medium from the first batch of graduates, in 1961. They are now university professors (Mangala de Silva and  H.G.Nandadasa). The next batch produced one civil engineer - (Buddhi/Buddhadasa  Meegasdeniya who now lives in Canada) who entered the University of Ceylon and later opted to accept the offer from the Education Department to enter Moscow University and one science graduate (Dhanasiri Silva). The third batch produced one engineer (M.K.N.Kumararatne) who studied at the University of Sri Lanka, one doctor (Nimal Jayaweera) who studied in East Germany and one science graduate (P.A.Jayawardena Yapa) who is a university professor now. Thereafter hundreds of students got admission to various universities in Sri Lanka and abroad from the Sinhalese programme. At present it could become one of the best colleges in southern province. Generally it is providing more than 50 student for Sri Lanka Universities per year.  Karandeniya Central College was established under the free education concept introduced by then Hon. Minister of Education Mr. C. W. W. Kannangara. This was one of the 54 Central Colleges established all over the Island under the program to groom under-privileged people in very rural areas. This was an opportunity for the sons and daughters of farmers, cinnamon cultivators and laborers. By staying true to the objective which it was established, large numbers of children entered the universities and found other avenues to transform themselves as better citizens. Personalities who helped the development of the College include Mr. T. D. Samarawera, who became the principal of the College twice. He was one of the old boys of the College who was born in Karandeniya."
"WestfieldTownshipisoneoftwentytownshipsinFayetteCounty,Iowa,USA.Asofthe2010census,itspopulationwas297.","Westfield Township is one of twenty townships in Fayette County, Iowa, USA.  As of the 2010 census, its population was 297."
SidiBoutouchentisatownandcommuneinTissemsiltProvinceinnorthernAlgeria.,Sidi Boutouchent is a town and commune in Tissemsilt Province in northern Algeria.
"EdvnsZeris(born10May1943)isaLatvianhurdler.Hecompetedinthemen's400metreshurdlesatthe1964SummerOlympics,representingtheSovietUnion.","Edvns Zeris (born 10 May 1943) is a Latvian hurdler. He competed in the men's 400 metres hurdles at the 1964 Summer Olympics, representing the Soviet Union."
"CubeLife:IslandSurvivalisanindieopenworldsandboxsurvivalvideogamedevelopedandpublishedbyCypronia.ItwasreleasedforWiiUinJune2015.AnHDremakewasreleasedforSteaminApril2018,forAndroidandiOSinAugust2018,andforNintendoSwitchinDecember2020.ThegamewasoneofthefirstsandboxvideogamesreleasedfortheWiiU.ThishasbeenseenasanicheinthemarketandissometimesregardedasoneofthemainreasonsforitsrelativelylargesuccessforanindieMinecraftclone.","Cube Life: Island Survival is an indie open world sandbox survival video game developed and published by Cypronia. It was released for Wii U in June 2015. An HD remake was released for Steam in April 2018, for Android and iOS in August 2018, and for Nintendo Switch in December 2020. The game was one of the first sandbox video games released for the Wii U. This has been seen as a niche in the market and is sometimes regarded as one of the main reasons for its relatively large success for an indie Minecraft clone."
"EugeneTownshipisoneoffivetownshipsinVermillionCounty,intheU.S.stateofIndiana.Asofthe2010census,itspopulationwas2,025anditcontained901housingunits.","Eugene Township is one of five townships in Vermillion County, in the U.S. state of Indiana.  As of the 2010 census, its population was 2,025 and it contained 901 housing units."
"FrostParishisacivilparishofNarromineCounty,NewSouthWalesFrostParishisonYellowCreek,southofNarromine,NewSouthWalesandislocatedat321354S1480804E.ThecargotransportingParkesNarrominerailwaylinepassesthroughFrostParishwithtwo(disused)stationsatFairviewandNarwonahrailwaystations.TheeconomyofFrostParishismainlybasedonbroadacreagricultureincludingsheep,cattleandwheat.","Frost Parish is a civil parish of Narromine County, New South Wales Frost Parish is on Yellow Creek, south of Narromine, New South Wales and is located at 321354S 1480804E. The cargo transporting ParkesNarromine railway line passes through Frost Parish with two (disused) stations at Fairview and  Narwonah railway stations. The economy of Frost Parish is mainly based on broad acre agriculture including sheep, cattle and wheat."
"ResthillsParkisamulti-usesportsvenueandpublicparklocatedinGlenview,anoutersuburbofHamilton,NewZealand.ItcurrentlyservesasthehomegroundforWaikatoRLintheBartercardPremiershiprugbyleaguecompetition,aswellastheWaikatoFCfootball(soccer)teamintheNewZealandFootballChampionship.","Resthills Park is a multi-use sports venue and public park located in Glenview, an outer suburb of Hamilton, New Zealand. It currently serves as the home ground for Waikato RL in the Bartercard Premiership rugby league competition, as well as the Waikato FC football (soccer) team in the New Zealand Football Championship."
AlainDamiens(born1950inCalais)isaFrenchclassicalclarinetist.,Alain Damiens (born 1950 in Calais) is a French classical clarinetist.
"JamwanthalirailwaystationisarailwaystationontheWesternRailwaynetworkinthestateofGujarat,India.Jamwanthalirailwaystationis31kmfarawayfromJamnagarrailwaystation.PassengerandSuperfasttrainshaltatJamwanthalirailwaystation.","Jamwanthali railway station is a railway station on the Western Railway network in the state of Gujarat, India. Jamwanthali railway station is 31 km far away from Jamnagar railway station. Passenger and Superfast trains halt at Jamwanthali railway station."
"""ForHe'saJollyGoodFellow""isapopularsongthatissungtocongratulateapersononasignificantevent,suchasapromotion,abirthday,awedding(orplayingamajorpartinawedding),aretirement,aweddinganniversary,thebirthofachild,orthewinningofachampionshipsportingevent.ThemelodyoriginatesfromtheFrenchsong""Marlbroughs'enva-t-enguerre""(""MarlboroughHasLeftfortheWar"").","""For He's a Jolly Good Fellow"" is a popular song that is sung to congratulate a person on a significant event, such as a promotion, a birthday, a wedding (or playing a major part in a wedding), a retirement, a wedding anniversary, the birth of a child, or the winning of a championship sporting event. The melody originates from the French song ""Marlbrough s'en va-t-en guerre"" (""Marlborough Has Left for the War"")."
GabrielCalabresNunes(born8March1998)isaBrazilianfootballerwhoplaysasamidfielderforCianorte.,Gabriel Calabres Nunes (born 8 March 1998) is a Brazilian footballer who plays as a midfielder for Cianorte.
"TheGendarmerieSpecialOperations(Turkish:JandarmazelHarekat)orJH,isthespecialoperationsunitoftheTurkishGendarmerieGeneralCommand.Itstasksincludesearchanddestroy,infiltration,andreconnaissance.MembersoftheunitreceiveextensivetrainingattheJandarmaSchoolatFoaandalsofromselectedTurkishArmedForcesinstructors.Allthreeofitscompaniesworkunderthedirectionofthearmyregionstowhichtheyareassigned,butcanalsoreceivetaskingfromtheirheadquartersinAnkara.Itwasestablishedin1991,attheheightoftheTurkish-Kurdishconflict.IthasrecentlybeeninvolvedintheTurkishoccupationofnorthernSyria.Unitmembersareinthe16-weektrainingroomsattheGendarmerieCommandoTerroristOperationsSchoolCommandinFoa.Allkindsoflightweapons,mortaruse,rocketlaunchertrainingManeuveringtrainingunderfire,destroyingtargettargetmountaineeringUsingGPS,findingdirectionsoverlongdistancescamouflageBeingabletowithstandfatigueandinsomnia,MakingtherightdecisionunderstressAdaptstodifferentclimateandlandneedsFightagainstterrorisminaresidentialareaExplosiverecognition,destruction,destructionHelicopterevacuation,contacthelicopterandhelicoptersteeringTransitionthroughthewaterTraineesareexpectedtocompletea10-kilometerriflerun,a15-kilometercountryrun,anda20-kilometerstrengthrun.Basicmovementssuchasshuttle,shuttleandpush-upsaremadeinWarPhysicalEducationclasses.Commandocandidatesrunatotalof300kilometersinrunningconditions.Inaddition,a12-personsnipercourseisalsoprovided.HealsoreceivesGendarmerieCommandoSpecializationtraining.","The Gendarmerie Special Operations (Turkish: Jandarma zel Harekat) or JH, is the special operations unit of the Turkish Gendarmerie General Command. Its tasks include search and destroy, infiltration, and reconnaissance.  Members of the unit receive extensive training at the Jandarma School at Foa and also from selected Turkish Armed Forces instructors.  All three of its companies work under the direction of the army regions to which they are assigned, but can also receive tasking from their headquarters in Ankara. It was established in 1991, at the height of the Turkish-Kurdish conflict. It has recently been involved in the Turkish occupation of northern Syria. Unit members are in the 16-week training rooms at the Gendarmerie Commando Terrorist Operations School Command in Foa. All kinds of light weapons, mortar use, rocket launcher training Maneuvering training under fire, destroying target target mountaineering Using GPS, finding directions over long distances camouflage Being able to withstand fatigue and insomnia, Making the right decision under stress Adapts to different climate and land needs Fight against terrorism in a residential area Explosive recognition, destruction, destruction Helicopter evacuation, contact helicopter and helicopter steering Transition through the water Trainees are expected to complete a 10-kilometer rifle run, a 15-kilometer country run, and a 20-kilometer strength run. Basic movements such as shuttle, shuttle and push-ups are made in War Physical Education classes. Commando candidates run a total of 300 kilometers in running conditions. In addition, a 12-person sniper course is also provided. He also receives Gendarmerie Commando Specialization training.  "
MohamedNaceurJelili(born2February1950)isaTunisianhandballplayer.Hecompetedatthe1972SummerOlympicsandthe1976SummerOlympics.,Mohamed Naceur Jelili (born 2 February 1950) is a Tunisian handball player. He competed at the 1972 Summer Olympics and the 1976 Summer Olympics.
"""SettleDown""isasongwrittenbyKimbraandFranoisTtazandfeaturestheproductionofTtazandM-Phazesandwasrecordedfrom200810.ThesongservedasKimbra'sdebutsingleandtheleadsingleforherdebutalbumVows(2011).ItwasreleasedonJune6,2010andthenre-releasedonNovember1,2011.ItisthefirstandonlysongKimbrahasreleasedstems/multitracksfor.Thesinglepeakedatnumber37ontheNewZealandSinglesChart.","""Settle Down"" is a song written by Kimbra and Franois Ttaz and features the production of Ttaz and M-Phazes and was recorded from 200810. The song served as Kimbra's debut single and the lead single for her debut album Vows (2011). It was released on June 6, 2010 and then re-released on November 1, 2011. It is the first and only song Kimbra has released stems/multitracks for. The single peaked at number 37 on the New Zealand Singles Chart."
"TheMcCombSchoolDistrictisapublicschooldistrictbasedinMcComb,Mississippi(USA).","The McComb School District is a public school district based in McComb, Mississippi (USA)."
"HelsinginKullervo(abbreviatedKullervo)isafootballclubfromHelsinki,Finland.Theclubwasformedin1919.ItusedtoparticipateinnumberofsportsincludingBandy,IceHockey,PespalloandAthleticsbutnowconcentratesonlyinFootball.TheclubisamemberoftheFinnishWorkers'SportsFederation,abbreviatedasTUL.Initsearlydays,ClubwasapowerhouseinTULSports,theywonseveralTULchampionshipsinFootball,Pespallo,BandyandAthletics.","Helsingin Kullervo (abbreviated Kullervo) is a football club from Helsinki, Finland. The club was formed in 1919. It used to participate in number of sports including Bandy, Ice Hockey, Pespallo and Athletics but now concentrates only in Football. The club is a member of the Finnish Workers' Sports Federation, abbreviated as TUL. In its early days, Club was a powerhouse in TUL Sports, they won several TUL championships in Football, Pespallo, Bandy and Athletics."
HelneElisabethKoch(neAndersson)(born9May1967)isaSwedishprofessionalgolfer.SheplayedontheLadiesEuropeanTourandwasrunner-upatthe1996CostaAzulLadiesOpen.,Helne Elisabeth Koch (ne Andersson) (born 9 May 1967) is a Swedish professional golfer. She played on the Ladies European Tour and was runner-up at the 1996 Costa Azul Ladies Open.
"Jean-ClaudeChermannisaFrenchvirologistwhomanagedtheresearchteamwhich,by1983,undertheadministrativesupervisionofLucMontagnier,haddiscoveredthevirusassociatedwithAIDS.Whereassecondauthorofthisinitialpublicationandobviouslyinvolvedasteammanagerinthisdiscovery,hehadbeenomittedfromtheNobelPrizeattributedtoitscolleagues.In2008,aschairmanofthesupportcommitteefortheattributionoftheNobelPrizeinmedicinetoJean-ClaudeChermann,BernardLeGrelle,apoliticalconsultant,campaignedfortheofficialrecognitionofthisoversightwiththeNobelcommitteebybringingtogethermorethan700doctors,professorsandscientists(includingprofessorRobertGallo).Theviruswasnamedlymphadenopathy-associatedvirus,orLAV.Ayearlater,ateamledbyRobertGallooftheUnitedStatesconfirmedthediscoveryofthevirus,butrenamedithumanT-lymphotropicvirustypeIII(HTLV-III).","Jean-Claude Chermann is a French virologist who managed the research team which, by 1983, under the administrative supervision of Luc Montagnier, had discovered the virus associated with AIDS. Whereas second author of this initial publication and obviously involved as team manager in this discovery, he had been omitted from the Nobel Prize attributed to its colleagues. In 2008, as chairman of the support committee for the attribution of the Nobel Prize in medicine to Jean-Claude Chermann, Bernard Le Grelle, a political consultant, campaigned for the official recognition of this oversight with the Nobel committee by bringing together more than 700 doctors, professors and scientists (including professor Robert Gallo). The virus was named lymphadenopathy-associated virus, or LAV. A year later, a team led by Robert Gallo of the United States confirmed the discovery of the virus, but renamed it human T-lymphotropic virus type III (HTLV-III).  "
"YuraniBlancoCalbet(born3February1998)isaSpanishprofessionalracingcyclist,whocurrentlyridesforUCIWomen'sContinentalTeamBizkaiaDurango.","Yurani Blanco Calbet (born 3 February 1998) is a Spanish professional racing cyclist, who currently rides for UCI Women's Continental Team BizkaiaDurango."
"Thornhill(ScottishGaelic:BrrnaDriseig)isavillageintheMidNithsdaleareaofDumfriesandGalloway,Scotland,southofSanquharandnorthofDumfriesonthemainA76road.ThornhillsitsintheNithsdalevalleywiththeCarsphairnandScaurrangetothewestandtheLowtherhillstotheeast.Itwasinitiallyasmallvillage,plannedandbuiltin1717ontheQueensberryEstateontheroadlinkingDumfriestoGlasgow.TheEarlofQueensberryinitiallynamedthevillage'NewDalgarnock'howeverthenamedidnotachievepopularapproval.ThevillageisprimarilycomprisedagridpatternwiththemainstreetofDrumlanrigStreet(theA76),EastandWestMortonStreets,NewStreet,TownheadStreetandGillRoad(theA702).ThevillageisnearDrumlanrigCastle,a17th-centuryturretedmansiononcetheancientDouglasstronghold,nowhometotheDukeofBuccleuchandQueensberry.ThegroundscontainTibbersCastlewhichwasfoundedinthe12thor13thcentury.ThemostrecentlypublishedCensusdatafrom2001recordedthepopulationat1,512inhabitants.","Thornhill  (Scottish Gaelic: Brr na Driseig) is a village in the Mid Nithsdale area of Dumfries and Galloway, Scotland, south of Sanquhar and north of Dumfries on the main A76 road. Thornhill sits in the Nithsdale valley with the Carsphairn and Scaur range to the west and the Lowther hills to the east. It was initially a small village, planned and built in 1717 on the Queensberry Estate on the road linking Dumfries to Glasgow. The Earl of Queensberry initially named the village 'New Dalgarnock' however the name did not achieve popular approval.The village is primarily comprised a grid pattern with the main street of Drumlanrig Street (the A76), East and West Morton Streets, New Street, Townhead Street and Gill Road (the A702). The village is near Drumlanrig Castle, a 17th-century turreted mansion once the ancient Douglas stronghold, now home to the Duke of Buccleuch and Queensberry. The grounds contain Tibbers Castle which was founded in the 12th or 13th century. The most recently published Census data from 2001 recorded the population at 1,512 inhabitants."
Zahomce(pronounced[zaxomts])isadispersedsettlementinthehillssouthofVranskoincentralSlovenia.TheareaisincludedintheSavinjaStatisticalRegionandwastraditionallypartofLowerStyria.,Zahomce (pronounced [zaxomts]) is a dispersed settlement in the hills south of Vransko in central Slovenia. The area is included in the Savinja Statistical Region and was traditionally part of Lower Styria.
